index,title,id,description
547,Ritonavir and Lopinavir in Treating Patients With Progressive or Recurrent High-Grade Glioma,NCT01095094,"PRIMARY OBJECTIVES: I. To evaluate the 6-month progression-free survival in patients with recurrent or progressive high grade gliomas treated with ritonavir and lopinavir. SECONDARY OBJECTIVES: I. To evaluate the toxicity of ritonavir and lopinavir in this patient population. OUTLINE: Patients receive oral ritonavir and lopinavir twice daily in the absence of disease progression or unacceptable toxicity. After completion of study therapy, patients are followed periodically."
548,CMV-specific Cytotoxic T Lymphocytes Expressing CAR Targeting HER2 in Patients With GBM,NCT01109095,"When the patient enrolls on this study, they will be assigned to a dose of HER2-CAR CMV-T cells.  The patient will be given a single injection of cells into the vein through an IV line at the assigned dose. The injection will take between 1 and 10 minutes. The patient will be followed in the clinic after the injection for 1 to 4 hours. If later the subject seems to be experiencing a benefit (confirmed by radiological studies, physical exam and/or symptoms), s/he may be able to receive up to six additional doses of the T cells if they wish. These additional infusions would be at least 6 to 12 weeks apart and at the same dose level received the first time.  Medical tests before treatment--  Before being treated, the patient will receive a series of standard medical tests as follows: Physical exam, Blood tests to measure blood cells, kidney and liver function, Routine heart function tests (Echocardiogram),Measurements of the tumor by routine imaging studies  Medical tests during and after treatment--  The patient will receive standard medical tests when getting the infusions and after:Physical exams, Blood tests to measure blood cells, kidney and liver function, Routine heart function tests (Echocardiogram) at 6 weeks after the infusion, Measurements of the tumor by routine imaging studies 6 weeks after the infusion  To learn more about the way the HER2-CAR CMV-T cells are working and how long they last in the body, blood will be taken on the day of the T-cell infusion, before, 1 hour and 4 hours after the T-cell infusion, 1, 2, 4 and 6 weeks after the T-cell infusion and every 3 months for 1 year, every 6 months for 4 years, then yearly for a total of 15 years."
549,Multi-site Validation and Application of a Consensus DSC-MRI Protocol,NCT03401866,"Although DSC-MRI itself is not novel, the consensus protocol tested herein is newly developed in response to a stated need by federal agencies (FDA, NCI) for standardization of imaging endpoints, including perfusion-weighted MRI, in multi-center clinical trials of GBM therapies. Through use of stereotactic methodologies that have been used to demonstrate that rCBV(relative cerebral blood flow) and FTB(fractional tumor burden) measures made by the consensus DSC-MRI protocol are concordant with tissue histology, this multi-site trial will be the first to validate a consensus DSC-MRI protocol on multiple platforms representing all major MRI scanner manufacturers. The trial also formally compares two contrast agent dosing schemes proposed in the consensus protocol, a single-dose BTIP-compliant scheme and a double-dose scheme. Such a comparison has never been tested in patients before, and addresses a longstanding controversy regarding contrast agent administration and dosing for DSC-MRI. Successful validation of the consensus DSC-MRI protocol will likely shift clinical practice paradigms. To date, the widespread adoption of DSC-MRI has been limited by inconsistent published methodologies, rCBV thresholds, and impact on clinical decision making. This trial seeks to improve confidence in DSCMRI methodology as it will foster its adoption for multicenter trials, facilitating the development and testing of novel therapeutic agents and treatment strategies for GBM, and shift clinical practice paradigms by providing strong evidence to support the inclusion of DSC-MRI in established response assessment criteria (i.e., modified RANO)."
550,Phase I Study of Oral ONC206 in Recurrent and Rare Primary Central Nervous System Neoplasms,NCT04541082,"The primary objective of this phase 1 trial is to determine the maximum tolerated dose (MTD), food effect, safety and tolerability of oral ONC206 in patients with recurrent, primary CNS neoplasms."
551,Upfront Bevacizumab/t?mozolomide for Gliomastomas With Neurological Impairment,NCT03623347,"New approaches are needed for patients newly diagnosed with bulky glioblastoma (GB) and/or with severe neurological impairment that cannot benefit from first line temozolomide (TMZ)-based chemoradiotherapy. Bevacizumab (BEV), an antiangiogenic anti-VEGF-R monoclonal antibody, has a rapid impact on tumor-related brain edema in recurrent GB. The present study reports the feasibility and efficacy of an induction treatment with TMZ and BEV to alleviate the initial neurological impairment and/or to reduce the tumor volume before a delayed chemoradiotherapy.  The investigators retrospectively analyzed tumor and target volumes and clinical neurological status in 39 patients with bulky GB and/or with severe neurological impairment after an induction treatment combining TMZ and BEV. Neurological and radiological responses were assessed according to RANO criteria.  Calculating gross tumor and clinical target volumes (GTV and CTV) was done at diagnosis and before radiotherapy. Progression-free survival (PFS) and overall survival (OS) were determined by Kaplan Meier methods. Safety was reported according to NCTCAE."
552,"Cetuximab, Bevacizumab and Irinotecan for Patients With Malignant Glioblastomas",NCT00463073,"Irinotecan has demonstrated activity in malignant gliomas in multiple phase II studies. The activity is limited, with an approximately 15 % response rate and a progression-free survival of 3-5 months. Given the synergy between irinotecan and bevacizumab in colorectal cancer, and the high-level expression of vascular endothelial growth factor on malignant gliomas, one would expect synergy between bevacizumab and irinotecan against gliomas. In addition, 40-50 % of GBM have EGFR amplification/mutation making the EGFR an additional target. By combing cetuximab, with irinotecan and bevacizumab, one would expect further response, than irinotecan and bevacizumab alone. In addition, recurrent gliomas have an extremely poor prognosis, so innovative therapies are needed."
553,Contribution of Cerebral 18F-DOPA PET-CT Scan in High-grade Recurrent Gliomas,NCT04766632,"The use of contrast enhancement in enhancing -T1 MRI, due to the rupture of the blood-brain barrier may underestimate the volume to be irradiated. The natural course of these gliomas after first irradiation is a second relapse within 12 months with, in 40% of cases, relapses outside the initial radiation field.  Amino acid PET-CT (Positon Emission Tomography with Computed Tomography) could be an interesting alternative to tumor delineation because its results, do not depend on the rupture of the blood-brain barrier. Several studies have used amino acid PET in the planning of radiotherapy treatment for high-grade gliomas, but without a well-conducted prospective study. In the recurrent high-grade glioma population, no studies have been performed with 18F-DOPA.( 6-fluoro-[18F]-L-dihydroxyphenylalanine) The question therefore relates to the interest of cerebral 18F-DOPA PET-CT to improve the delineation of the volumes to be re-irradiated, during the recurrence of high-grade gliomas, and on the optimal methodology for determining GTV- PET.  To compare GTV-TEP and GTV-MRI volumes with each other, and the r-GTV, volume corresponding to the relapse objectified on the follow-up MRI, the analysis will be based on 3 parameters:  DICE index, similarity index between 2 volumes, Contoured Common Volume (VCC), intersection of 2 volumes between them, Additional Contoured Volume (VSC), total volume delineated with imaging minus the common volume between 2 imageries.  Thus, within the rGTV relapse volume, it's important to know whether VSC of 18F-DOPA PET-CT is significant compared to that of MRI and would thus allow better definition of the volumes to be irradiated."
554,A Phase I Study of AdV-tk + Prodrug Therapy in Combination With Radiation Therapy for Pediatric Brain Tumors,NCT00634231,"This is an Open label, Phase I, dose escalation study. Patients will receive an injection of AdV-tk into the tumor or tumor bed during the surgical procedure followed by 14 days of anti-herpetic prodrug, valacyclovir, starting 1-3 days after vector injection. Standard radiotherapy will begin 3-7 days after AdV-tK injection. Standard chemotherapy may begin after completion of valacyclovir at the discretion of the treating physician and family. Two dose levels of AdV-tk will be evaluated with a fixed dose of valacyclovir."
555,Sorafenib in Treating Patients With Recurrent or Progressive Malignant Glioma,NCT00093613,"PRIMARY OBJECTIVES:  I. To determine the maximum tolerated dose (MTD) of BAY 43-9006 when administered to adults with recurrent malignant glioma, receiving (Group A) or not receiving (Group B) anticonvulsants known to be metabolized by the P450 hepatic enzyme complex.  II. To assess and estimate the dose-related toxicities. III. To describe the pharmacokinetics of this route of administration, measuring BAY 43-9006, and to assess the pharmacokinetic difference between patients taking enzyme-inducing agents and those who are not.  IV. To estimate overall survival.  OUTLINE: This is a dose-escalation, multicenter study. Patients are stratified according to the concurrent use of cytochrome P450-inducing anticonvulsants (yes vs no).  Patients receive oral sorafenib twice daily on days 1-28 (once daily on day 1 of course 1 only). Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.  Cohorts of 3-6 patients per stratum receive escalating doses of sorafenib until the maximum tolerated dose (MTD) is determined. The MTD is defined as the dose preceding that at which 2 of 3 or 3 of 6 patients experience dose-limiting toxicity.  Patients are followed every 2 months."
556,Temozolomide Plus Bevacizumab in Supratentorial Glioblastoma in 70 Years and Older Patients With an Impaired Functional Status,NCT02898012,"Elderly patients aged 65 years and older account for approximately 45% of GBM patients, and this figure is expected to rise concurrently with the aging population of most countries. Unfortunately, few trials have been performed in this setting. In elderly patients with good functional status (KPS >70), radiotherapy (RT) prolongs overall survival (OS) without causing a detriment in quality of life compared with palliative care alone. Recently, it was shown that TMZ could be an alternative to RT. In elderly patients with poor functional status at symptom onset (KPS < 70), RT does not appear to be a satisfactory option in this frail population; however, investigators previously found that TMZ alone was associated with improvements in functional status in 1/3 of cases and appeared to increase survival compared with supportive care alone, especially in methylated MGMT promoter patients.  Bevacizumab (Bev) is an antiangiogenic monoclonal antibody targeting VEGF (vascular endothelial growth factor) that is currently used in recurrent GBM, particularly in combination with alkylating agents. Its effect as first line treatment in combination with TMZ and RT is controversial.  In this study, investigators evaluated the efficacy and safety of the upfront combination of TMZ + Bev as an initial treatment for elderly patients with GBM and impaired functional status (KPS <70)."
557,Ph I SU011248 + Irinotecan in Treatment of Pts w MG,NCT00611728,"Primary interest for combining SU011248 w irinotecan in malignant glioma pts derives from dramatic anti-tumor activity recently demonstrated among RMG pts treated w humanized anti-VEGF monoclonal antibody, bevacizumab, when combined w irinotecan. 63 percent radiographic response rate was observed following treatment w regimen every other wk, & median progression-free survival was 23wks. Similar enhancement of chemo activity by VEGF-directed therapy w bev has been previously demonstrated for colorectal & lung cancer pts. SU011248 is being evaluated in current regimen because it may exert more potent anti-angiogenic effect than bev among MG pts due to its ability to inhibit PDGFR-mediated pericyte stabilization in tumor neovasculature.  Current proposed ph I study is designed to determine MTD & DLT of SU011248 when combo w irinotecan for pts w RMG. Both SU01148 & irinotecan are known to be metabolized by CYP3A4 cytochrome system. Current study will limit enrollment to pts who are not on CYP3A4-enzyme inducing anti-epileptic drugs."
558,Phase I Study of Mebendazole Therapy for Recurrent/Progressive Pediatric Brain Tumors,NCT02644291,"The primary objectives of this study are to determine the maximum tolerated dose (MTD) of oral mebendazole in patients with recurrent/progressive pediatric brain tumors and to confirm the tolerance of the MTD of oral mebendazole by assessing tolerance in a dose expansion cohort. Secondary Objectives of the study include to determine the safety, tolerability and toxicity of mebendazole in this patient population, determine the plasma levels of mebendazole in this patient population and Determine progression-free and overall survival of mebendazole in an extended cohort of patients with treatment refractory pediatric brain cancer.  Mebendazole (MBZ) is a drug developed to treat human helminthic disease and is FDA-approved for the treatment of roundworm, common hookworm, American hookworm, pinworm and whipworm. MBZ use is well documented and frequently used in tropical countries at higher doses for the rarer parasitic infections of the brain.  We have shown efficacy in preclinical laboratory models of high grade glioma and medulloblastoma. Mebendazole therapy demonstrated safety in a phase I clinical trial for adults with high grade gliomas such as glioblastoma. This trial completed the maximum approved enrollment of 24 patients treated with mebendazole, with high doses consistent with dosing published for severe parasitic infections.  Laboratory studies indicate that mebendazole enters the brain and brain tumors at concentrations that may be effective for a combination of anti-cancer mechanisms. In animal models of brain cancer evidence suggest that mebendazole can prevent cell proliferation by interfering with tubulin formation, and it may prevent the formation of new abnormal blood vessels that feed tumor growth.  The patients for this experimental trial are those between the age of 1 to 21 with the diagnosis of medulloblastoma, or high grade glioma, where the tumor has resumed growth or continued to grow despite standard medical therapy. High grade glioma are those with a World Health Organization (WHO) grade of III or IV. It includes diagnosis of pediatric glioblastoma, anaplastic astrocytoma, and diffuse intrinsic pontine glioma. Patients who have failed other forms of experimental therapy may also be eligible for this trial.  Mebendazole is provided at no cost in the form of a chewable 500 mg tablets, recommended to be taken three times daily with meals or food. The pill can be chewed after meals, or ground up to be mixed with food or drink. It has a mild orange flavor that is similar in consistency to an antacid tablet.  Although side effects are rare and the vast majority are reversible, they include stomach upset, decreased blood count, and elevated liver enzymes due to inflammation.  The main additional procedure beyond taking this drug, is that patients are requested to consent to up to three additional blood draws to check the blood (serum) levels of the drug to ensure it is being absorbed at sufficient doses.  Patients can continue to receive the drug as long as in the attending physicians opinion the therapy is not causing any severe side effects, and there is no clear indication that the patient will not respond to mebendazole therapy. Patients can withdraw from this trial at any time for any reason, and may be eligible for other experimental therapies afterwards."
559,The Effects of Continuous 28-day (28/28) Temozolomide Chemotherapy in Subjects With Recurrent Malignant Glioma Who Have Failed the Conventional 5-day (5/28) Treatment (P04601),NCT00392171,"The purpose of this non-randomized, open-label, multicenter, Phase II, 2-stage design, RESCUE study is to test the hypothesis that continuous 28-day oral dosing (28/28) with dose-intense temozolomide (50 mg/m^2) for up to 12 months may overcome resistance and be effective in the management of adult patients with malignant glioma who have failed following at least 2 cycles (2 months) of conventional 5-day (5/28) cycles of high-dose temozolomide (150-200 mg/m^2)."
560,HSV G207 With a Single Radiation Dose in Children With Recurrent High-Grade Glioma,NCT04482933,"Outcomes for children with recurrent or progressive high-grade glioma (brain tumor) are very poor, and there are a lack of effective salvage therapies once a patient fails standard treatments. Novel innovative treatments are greatly needed.  G207 is an oncolytic herpes simplex virus-1 (HSV) that has been successfully engineered to introduce mutations in the virus that enable it to selectively replicate in and kill cancer cells, but not normal cells. Replication of G207 in the tumor not only kills the infected tumor cells, but causes the tumor cell to act as a factory to produce new virus. These virus particles are released as the tumor cell dies, and can then proceed to infect other tumor cells in the vicinity, and continue the process of tumor kill. In addition to this direct oncolytic activity, the virus engenders an anti-tumor immune response; the virus is immunogenic and produces a debris field which exposes cancer cell antigens to immune cells, which can target other cancer cells. Thus, the oncolytic effect of the virus and the immune response that the virus stimulates provide a dual attack against cancer cells. In preclinical studies, a single 5 Gy dose of radiation within 24 hours of virus inoculation to the tumor increased virus replication and tumor cell killing. Radiation may also enhance the immune response against the tumor.  The University of Alabama at Birmingham has conducted three phase I trials of G207 injected into the recurrent tumor alone or combined with a single dose of radiation in adults with recurrent high-grade gliomas. In these trials, high doses (up to 3 x 10^9 plaque-forming units) of virus were safely injected directly into the tumor or surrounding brain tissue without serious toxicities. Radiographic and neuropathologic evidence of an antitumor response was seen in some patients. Preclinical laboratory studies have demonstrated that a variety of aggressive pediatric brain tumor types are sensitive to G207.  A Phase I study of intratumoral G207 alone or combined with a 5 Gy dose of radiation in children ages 3-18 with biopsy-confirmed recurrent/progressive supratentorial brain tumors recently completed the highest planned dose level (UAB1472; NCT02457845). The study used a 3 + 3 design with 4 dose cohorts.12 Patients underwent stereotactic placement of up to 4 intratumoral catheters. The following day they received a single controlled-rate infusion of G207 (1 x 10^7 or 1 x 10^8 pfu) over 6 hours. Cohorts 3 and 4 received a 5 Gy radiation fraction to the gross tumor volume within 24 hours of G207. Twelve subjects with progressive high-grade glioma received G207. Twenty adverse events, all grade 1, were attributed to G207. G207 was determined to be safe and tolerable in children and a recommended Phase 2 was established (1 x10^8 followed by 5 Gy radiation to the tumor).  This study is a phase II, open-label, single arm clinical trial of G207 alone or combined with a single low dose of radiation in children with recurrent or progressive high grade glioma. The primary objective is to assess the efficacy. The secondary objective is to confirm the safety and tolerability of G207 and to survey for virologic shedding following G207.  Subjects will receive G207 at 1 x 10^8 plaque-forming units (pfu), intratumorally via controlled rate infusion through up to 4 silastic catheters over a 6 hour period. The subject will then receive a single 5 Gy dose of radiation to the tumor within 24 hours of virus inoculation."
561,Bortezomib in Treating Patients With Recurrent Glioma,NCT00006773,"OBJECTIVES:  I. Determine the maximum tolerated dose of bortezomib with or without anticonvulsant drugs known to be metabolized by the P450 hepatic enzyme complex in patients with recurrent glioma.  II. Determine the biologic activity of this drug by measuring proteasome 20S activity in these patients.  III. Determine the effects of hepatic enzyme-inducing drugs, such as anticonvulsants, on biologic activity of this drug in these patients.  OUTLINE: This is a dose-escalation, multicenter study. Patients are stratified according to concurrent anticonvulsant drug use (phenytoin, carbamazepine, phenobarbital, primidone, or felbamate vs gabapentin, lamotrigine, valproic acid, or no anticonvulsant drugs).  Patients receive bortezomib IV over 3-5 seconds twice weekly for 2 weeks. Courses repeat every 3 weeks in the absence of disease progression or unacceptable toxicity.  Cohorts of 3-6 patients receive escalating doses of bortezomib until the maximum tolerated dose (MTD) is determined. The MTD is defined as the dose preceding that at which 2 of 3 or 2 of 6 patients experience dose-limiting toxicity. Once the MTD is determined, 10 additional patients are treated with bortezomib at the MTD. Patients are followed every 2 months."
562,Ribociclib (LEE011) in Preoperative Glioma and Meningioma Patients,NCT02933736,"900 mg/d is the maximally tolerated dose (MTD), as determined in a recent Novartis-sponsored Phase I study for advanced solid tumor patients. The recommended dose expansion and Phase 2 is 600mg/d for 3 weeks on and 1 week off. Due to drug pharmacokinetics, the MTD (900mg) dose will be used for pre-surgical dosing in order to maximize the opportunity to identify relevant tumor pharmacokinetic (PK) and pharmacodynamics (PD) endpoints.  To assess the PK, and PD endpoints listed above, cerebrospinal fluid (CSF) and brain tumor tissue will be collected intraoperatively (for gliomas, enhancing and non-enhancing tumor tissue will be collected and analyzed separately). Additionally, blood samples will be obtained at 0.5, 1, 2, 4, 6, 8, and 24 hours after the final ribociclib dose is administered.  Patients with tumors demonstrating positive PK and PD effects will continue treatment with ribociclib (21 days on, 7 days off) after surgery. This will constitute the Phase II component of the study. Patients will be treated until unacceptable toxicity is observed, or until disease progression as assessed by radiographic or clinical metrics. Preliminary rates of progression-free survival in patients with high-grade gliomas and high-grade meningiomas treated with ribociclib will be measured through radiographic and clinical response metrics, specifically Response Assessment in Neuro-Oncology (RANO) criteria and investigator discretion. Overall survival in patients with high-grade gliomas and high-grade meningiomas treated with ribociclib will be assessed by medical record review and survival follow up."
563,Genetically Modified Stem Cells and Irinotecan Hydrochloride in Treating Patients With Recurrent High-Grade Gliomas,NCT02055196,"PRIMARY OBJECTIVES:  I. To define the recommend phase II doses of intracranially administered active modified human form of carboxylesterase (hCE1m6)- neuronal stem cells (NSCs) (carboxylesterase-expressing allogeneic neural stem cells) in combination with intravenous irinotecan (irinotecan hydrochloride).  II. To determine the biologic activity of the hCE1m6-NSCs by comparing SN-38 concentrations in the brain after treatment with hCE1m6-NSCs and irinotecan compared to irinotecan alone.  SECONDARY OBJECTIVES:  I. To investigate the relationship between hCE1m6-NSC dose and SN-38 concentrations in brain interstitium.  II. To characterize the relationship between intracerebral and systemic concentrations of irinotecan and SN-38.  III. To assess for possible development of NSC immunogenicity after first exposure and with repeat doses of NSCs.  IV. To evaluate the intracerebral distribution of NSCs by using iron-labeling as a cellular tracker.  V. To describe the clinical benefit (defined as stable disease, partial response, or complete response) in patients who receive treatment with repeat cycles of NSCs and irinotecan.  VI. To determine, at time of autopsy, the fate of the NSCs.  OUTLINE: This is a dose-escalation study of carboxylesterase-expressing allogeneic neural stem cells.  Patients receive carboxylesterase-expressing allogeneic neural stem cells via intracerebral catheter on day 1 of week 1; weeks 1 and 3, weeks 1, 2, and 3; or weeks 1, 2, 3, and 4. Patients also receive irinotecan hydrochloride intravenously (IV) over 90 minutes on day 3 of week 1; weeks 1 and 3, weeks 1, 2, and 3; or weeks 1, 2, 3, and 4. Courses repeat every 6 weeks in the absence of disease progression or unacceptable toxicity.  After completion of study treatment, patients are followed up for at least 15 years."
564,Phase 1 Study of BXQ-350 in Adult Patients With Advanced Solid Tumors,NCT02859857,"This is a first in man study of BXQ-350, a novel anti-neoplastic therapeutic agent composed of two components: Saposin C (SapC), an expressed (human) lysosomal protein, and the phospholipid dioleoylphosphatidyl-serine (DOPS), a phospholipid located on cell membranes. When both the components are assembled together forming stable SapC-DOPS nanovesicles (clinical formulation BXQ-350), the agent exhibits the propensity to enter the body and brain, target cells in the tumor mass, and induce cell death.  The study is divided into 3 parts:  Dose Escalation Scheme Sequential cohorts of adult patients with advanced solid tumors and recurrent high-grade gliomas will be treated with escalating doses of BXQ-350 until the MTD is established, or in the absence of a MAD, the highest planned DL. During Part 2, patients with advanced solid tumors and recurrent high-grade gliomas will be enrolled and administered BXQ-350 at the MTD determined in Part 1 or at the highest planned DL, if the MAD is not reached. During Part 3, patients with either ependymoma, GI tumors , or advanced solid tumors other than HGG, will be enrolled and administered BXQ-350 at the 2.4 mg/kg dose level."
565,INCB7839 in Treating Children With Recurrent/Progressive High-Grade Gliomas,NCT04295759,"INCB7839 is an inhibitor of the ADAM (A Disintegrin and Metalloprotease) 10 and 17 proteases. Neuronal activity regulates glioma growth through neuroligin-3 (NLGN3). ADAM 10 is the protease responsible for NLGN3 release into the tumor microenvironment and represents a promising therapeutic target.  Pre-clinical studies of INCB7839 in patient-derived pediatric high-grade gliomas (GBM and DIPG) revealed that INCB7839 inhibits pediatric high- grade glioma growth and improves overall survival. In vivo testing also demonstrated that INCB7839 penetrates brain tissue sufficient to achieve its pharmacodynamic effect of ADAM10 inhibition. Further pre-clinical studies in other animals revealed minimal toxicity, including non-adverse to mild increases in serum hepatobiliary enzymes, protein, calcium, cholesterol values, along with minimal decreases in RBC mass parameters; all parameters recovered.  INCB7839 has been evaluated in Phase I and Phase II clinical trials for previously treated solid tumors and breast cancer. Of the adverse events (AEs) noted, the majority were mild-to-moderate in severity, the most frequent being fatigue, nausea, anorexia, diarrhea, emesis, abdominal pain, anemia and constipation. The dose-limiting toxicity for monotherapy with INCB7839 in Phase I clinical trials was declared to be deep venous thrombosis (DVT). Out of 41 patients, there was a total of 9 thrombotic events including mild superficial thrombophlebitis (n=1), DVT (n=4), vena cava thrombosis with renal insufficiency in a patient with squamous cell cancer of the head and neck (n=1), atrial thrombosis in patient with breast cancer (n=1), and pulmonary embolism in patients with hormone-refractory prostate cancer (n=2). Overall, INCB7839 does exhibit a pro-coagulant effect in some adult patients, resulting in an increased incidence of DVT, whether used alone or in combination. The mechanism of this effect is unknown, and there is no clear relationship between the frequency of thrombosis and the dose administered."
566,Imaging Study of the Distribution of IL13-PE38QQR Infused Before and After Surgery in Adult Patients With Recurrent Malignant Glioma,NCT00064779,"OBJECTIVES:  Assess the distribution of IL13-PE38QQR following continuous infusion via catheter(s) into recurrent malignant glioma prior to surgical resection and a continuous infusion via catheter(s) into brain tissue adjacent to tumor resection site after surgical resection. 123I-HSA tracer will be used as a surrogate for study drug distribution. Determine the toxicities associated with administration of IL13-PE38QQR as described above. Assess the effect on distribution of IL13-PE38QQR of varying the catheter type (up to 3) and flow rate per catheter, keeping the total flow rates constant, for the pre- and post-resection infusions.  OUTLINE: This is a pilot study to assess the distribution of IL13-PE38QQR delivered by intratumoral infusion prior to surgical resection and by interstitial infusion into tissue surrounding the resection site (peritumoral) after surgical resection. Prior to resection, catheters will be placed in the region of the solid contrast-enhancing tumor component. The volume of infusion, the duration of infusion, and the concentration of IL13-PE38QQR in the infusate will be fixed. For the post-resection infusion, catheters will be placed peritumorally into areas at greatest risk for residual or infiltrating tumor. The post-resection volume of infusion, the duration of infusion, and the concentration of IL13-PE38QQR in the infusate will be fixed. For the first 48 hours of each infusion, IL13-PE38QQR will be prepared with 123I-HSA tracer as the surrogate for distribution of study drug. The type and number of catheters utilized to deliver the pre- and post-surgery infusions will vary. To maintain a fixed total volume of infusate over 96 hours, the rate of infusion will vary depending upon the number of catheters utilized. Up to three different catheter types will be tested. However, only the same, single type of catheter will be utilized for the pre- and post-resection infusions for a given patient.  To allow assessment of the distribution of the infused material, the first 48 hours of both the pre- and post-resection infusions will utilize 123I-HSA in the infusate. For the last 48 hours of both infusions, the 123I-HSA will be replaced by non-labeled HSA. The distribution of the 123I-HSA tracer will be measured by Single-Photon Emission Computed Tomography (SPECT) scanning.  PROJECTED ACCRUAL: Up to 18 patients will be enrolled at a single site."
567,Phase I Study of Safety and Immunogenicity of ADU-623,NCT01967758,"This Phase I clinical trial will examine the safety, tolerability and immunogenicity of a novel vaccine approach using a live-attenuated strain of Listeria monocytogenes expressing EGFRvIII and NY-ESO-1 antigens to induce proliferation of memory and effector T cells with the overall goal of promoting an immune response against high-grade astrocytic tumors."
568,Repeated Super-Selective Intraarterial Cerebral Infusion of Bevacizumab (Avastin) for Treatment of Newly Diagnosed GBM,NCT01811498,"The experimental aspects of this experimental plan will include:  Subjects will first be treated with Mannitol prior to chemotherapy infusion (Mannitol 20%; delivered IA, 12.5 mL over 2 minutes) in order to disrupt the blood brain barrier. This technique has been used in several thousand subjects in previous studies for the IA delivery of chemotherapy for malignant glioma. Subjects will then be treated with repeated intraarterial delivery (SIACI) of Bevacizumab. Each subject will receive one dose of IA Bevacizumab on day 30, followed by chemoradiation. SIACI of Bevacizumab will be repeated every three months for a total of 3 infusions."
569,Histologic Effect/Safety of Pre/Post-Operative IL13-PE38QQR in Recurrent Resectable Supratentorial Malignant Glioma Patients,NCT00024557,"OBJECTIVES:  I. Determine the concentration of IL13-PE38QQR that produces histologic evidence of toxicity to tumor, and the corresponding drug toxicity, following a 2-day continuous infusion into recurrent malignant glioma prior to surgical resection.  II. Determine the toxicity of IL13-PE38QQR administered as a 4-day continuous infusion via catheters into brain adjacent to tumor resection site, after surgical resection, at concentrations up to the selected concentration.  III. Determine the toxicity of increasing duration of continuous infusion of IL13- PE38QQR via catheters into brain adjacent to tumor resection site, after surgical resection, at the selected concentration.  IV. Determine the feasibility and safety of IL13-PE38QQR administration following post-operative placement of stereotaxic catheters 2 days after tumor resection, utilizing a post-operative imaging study for planning of catheter placement. A 4-day continuous infusion at the MTD is planned.  V. Describe the time to progression and survival of patients treated with IL13-PE38QQR.  PROTOCOL OUTLINE: This study is designed to determine two dose levels. The first is defined as the histologically effective concentration (HEC) when the agent is administered prior to tumor resection. The second is defined using safety and tolerability of study drug administered after tumor resection at doses up to the HEC. Safety and tolerability of increasing duration of infusion after tumor resection will then be assessed.  Patient cohorts will be treated at escalating pre-resection dose-levels until a stopping criterion for the pre-surgery dose is met, holding the post-resection dose constant at the starting level. Stopping criteria for dose escalation of the pre-surgery infusion are determination of the HEC or the maximum tolerated dose (MTD).  Subsequent cohorts will be treated only post-operatively at escalating dose levels until a stopping criterion for the post-surgery dose is met. Stopping criteria for dose escalation of the post-surgery infusion are reaching the HEC determined for the pre-operative infusion or determination of the MTD. After the HEC is reached, subsequent cohorts will be treated with post-operative infusions of increasing duration at the HEC until the maximum duration defined in the study is reached or an MTD is defined. (If an MTD has already detected, duration will not be escalated.)  After the stage of the study evaluating escalation of infusion duration has completed, the study will expand to evaluate post-operative placement of catheters after tumor resection. This stage of the study will assess the feasibility and safety of stereotaxic placement of catheters 2 days after tumor resection using a post-operative imaging study for planning. Patients will receive a 96 hour post-resection infusion at the MTD.  Cohorts of at least three patients will be entered at each dose level. Each cohort will be observed for at least thirty days after completion of administration of study drug to allow for observation of toxicity before the next cohort is enrolled.  PROJECTED ACCRUAL: Depends on number of dose-levels, estimated at 25-50 patients."
570,"Phase II Study of Carmustine, Streptozocin, and Mercaptopurine for Refractory or Recurrent Brain Neoplasms",NCT00004688,"PROTOCOL OUTLINE:  Patients receive mercaptopurine IV on days 1-3, carmustine by continuous infusion on days 3-5, and streptozocin IV over 20 minutes on days 2-5. Patients receive treatment every 42 days, for up to 4 courses.  Completion date provided represents the completion date of the grant per OOPD records"
